Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 51 | dz = 0.652 | sum = 19.52 | DS | 12.005
 0, 58 | dz = 0.090 | diff = 14.45 | SS | 10.030
 0, 111 | dz = 0.094 | diff = 2.89 | SS | 3.110
 0, 117 | dz = 0.089 | diff = -11.02 | SS | 10.561
 0, 118 | dz = 0.285 | sum = 122.36 | DS | 6.713
 0, 153 | dz = 0.653 | sum = 17.45 | DS | 10.994
 1,  3 | dz = 0.561 | sum = 18.98 | DS | 15.029
 1, 33 | dz = 0.931 | sum = 129.72 | DS | 17.978
 1, 48 | dz = 0.093 | diff = -13.57 | SS | 17.000
 1, 94 | dz = 0.467 | sum = 19.28 | DS | 17.067
 1, 143 | dz = 0.089 | diff = -14.19 | SS | 12.724
 2, 31 | dz = 0.652 | sum = 19.97 | DS | 10.972
 2, 42 | dz = 0.745 | sum = 20.38 | DS | 7.626
 2, 113 | dz = 0.002 | diff = -0.71 | SS | 12.799
 2, 120 | dz = 0.836 | sum = 22.31 | DS | 18.313
 3, 12 | dz = 0.655 | sum = -4.07 | DS | 10.411
 3, 48 | dz = 0.836 | sum = 19.39 | DS | 11.611
 3, 57 | dz = 0.653 | sum = 128.03 | DS | 8.078
 3, 123 | dz = 0.002 | diff = -17.71 | SS | 15.340
 3, 143 | dz = 0.840 | sum = 129.31 | DS | 16.960
 4,  8 | dz = 0.927 | sum = 22.94 | DS | 13.950
 4, 11 | dz = 0.382 | sum = 125.64 | DS | 11.841
 4, 47 | dz = 1.113 | sum = 126.42 | DS | 13.749
 4, 117 | dz = 0.466 | sum = 14.90 | DS | 11.085
 4, 141 | dz = 0.286 | sum = 15.74 | DS | 10.202
 4, 144 | dz = 0.188 | diff = 16.74 | SS | 12.103
 5, 43 | dz = 0.094 | sum = 128.56 | DS | 7.531
 5, 53 | dz = 0.186 | diff = -14.80 | SS | 8.817
 5, 56 | dz = 0.362 | diff = 16.02 | SS | 9.744
 5, 93 | dz = 0.791 | sum = 20.68 | DS | 8.830
 5, 128 | dz = 0.140 | diff = -8.11 | SS | 7.415
 6, 36 | dz = 0.374 | sum = 126.97 | DS | 16.032
 6, 100 | dz = 0.559 | sum = 19.35 | DS | 10.904
 6, 109 | dz = 0.256 | diff = 118.65 | SS | 10.627
 6, 156 | dz = 0.001 | diff = 0.80 | SS | 15.043
 7, 14 | dz = 0.563 | sum = 19.89 | DS | 3.234
 7, 77 | dz = 0.833 | sum = 120.28 | DS | 8.650
 7, 92 | dz = 0.656 | sum = 17.51 | DS | 6.467
 7, 102 | dz = 0.774 | sum = 19.68 | DS | 8.695
 7, 148 | dz = 0.003 | diff = -14.72 | SS | 6.386
 7, 154 | dz = 0.834 | sum = 128.97 | DS | 2.963
 8, 79 | dz = 0.843 | sum = 129.62 | DS | 17.094
 8, 85 | dz = 0.001 | diff = 13.10 | SS | 14.424
