Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
95, 98 | dz = 0.000 | diff = 0.13 | SS | 0.776
95, 120 | dz = 0.000 | diff = 0.02 | SS | 0.998
96, 121 | dz = 0.000 | diff = 0.08 | SS | 1.071
97, 114 | dz = 0.000 | diff = 0.24 | SS | 1.002
97, 117 | dz = 0.000 | diff = 0.10 | SS | 0.904
97, 132 | dz = 0.000 | diff = 0.05 | SS | 1.203
99, 115 | dz = 0.000 | diff = 0.38 | SS | 1.618
99, 151 | dz = 0.000 | diff = 0.74 | SS | 0.258
101, 125 | dz = 0.000 | diff = -0.40 | SS | 0.652
101, 151 | dz = 0.361 | diff = -77.19 | SD | 1.832
102, 107 | dz = 0.000 | diff = 0.00 | SS | 0.726
102, 118 | dz = 0.000 | diff = -0.01 | SS | 1.394
102, 128 | dz = 0.000 | diff = -0.01 | SS | 0.618
103, 126 | dz = 0.002 | diff = -0.34 | SS | 0.665
103, 142 | dz = 0.002 | diff = -0.17 | SS | 0.826
104, 136 | dz = 0.000 | diff = 0.01 | SS | 1.016
106, 122 | dz = 0.364 | diff = -77.65 | SD | 0.812
106, 144 | dz = 0.000 | diff = -0.02 | SS | 1.242
106, 152 | dz = 0.000 | diff = 0.26 | SS | 1.253
107, 108 | dz = 0.000 | diff = -0.09 | SS | 0.903
109, 114 | dz = 0.000 | diff = -0.14 | SS | 0.859
110, 139 | dz = 0.000 | diff = -0.02 | SS | 1.013
110, 155 | dz = 0.000 | diff = -0.02 | SS | 0.849
111, 150 | dz = 0.366 | diff = -77.81 | SD | 1.177
112, 118 | dz = 0.000 | diff = 0.02 | SS | 0.665
112, 128 | dz = 0.000 | diff = 0.02 | SS | 1.426
112, 156 | dz = 0.000 | diff = 0.02 | SS | 1.048
113, 141 | dz = 0.000 | diff = 0.62 | SS | 1.249
113, 147 | dz = 0.000 | diff = -0.20 | SS | 1.277
113, 149 | dz = 0.000 | diff = 0.48 | SS | 0.991
115, 151 | dz = 0.000 | diff = -0.36 | SS | 0.548
116, 119 | dz = 0.000 | diff = -0.12 | SS | 0.381
116, 133 | dz = 0.000 | diff = -0.52 | SS | 1.014
117, 121 | dz = 0.000 | diff = -0.04 | SS | 1.326
117, 132 | dz = 0.000 | diff = 0.06 | SS | 1.002
118, 128 | dz = 0.000 | diff = 0.00 | SS | 1.000
118, 156 | dz = 0.000 | diff = 0.04 | SS | 1.417
119, 133 | dz = 0.000 | diff = -0.40 | SS | 0.928
120, 152 | dz = 0.000 | diff = -0.01 | SS | 0.771
121, 132 | dz = 0.000 | diff = 0.01 | SS | 1.013
123, 158 | dz = 0.000 | diff = 0.38 | SS | 0.975
125, 151 | dz = 0.361 | diff = -76.79 | SD | 1.678
126, 129 | dz = 0.001 | diff = 0.07 | SS | 0.072
126, 134 | dz = 0.001 | diff = 0.15 | SS | 0.700
126, 142 | dz = 0.000 | diff = 0.16 | SS | 1.365
127, 140 | dz = 0.000 | diff = 0.68 | SS | 1.377
127, 153 | dz = 0.000 | diff = -0.34 | SS | 0.729
129, 134 | dz = 0.000 | diff = -0.08 | SS | 1.081
129, 138 | dz = 0.000 | diff = 0.13 | SS | 1.131
130, 134 | dz = 0.000 | diff = 0.37 | SS | 0.999
130, 138 | dz = 0.000 | diff = -0.32 | SS | 1.001
130, 157 | dz = 0.000 | diff = -0.23 | SS | 0.968
134, 138 | dz = 0.000 | diff = 0.05 | SS | 0.529
134, 142 | dz = 0.001 | diff = -0.02 | SS | 0.337
137, 158 | dz = 0.364 | diff = -77.51 | SD | 0.905
140, 153 | dz = 0.000 | diff = 0.33 | SS | 1.175
141, 146 | dz = 0.000 | diff = 0.48 | SS | 1.471
141, 147 | dz = 0.000 | diff = 0.82 | SS | 0.206
141, 149 | dz = 0.000 | diff = 0.14 | SS | 1.005
144, 155 | dz = 0.000 | diff = 0.18 | SS | 0.992
145, 146 | dz = 0.001 | diff = 0.13 | SS | 1.000
145, 154 | dz = 0.000 | diff = 0.01 | SS | 0.539
Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0,  3 | dz = 0.000 | diff = -0.16 | SS | 1.123
 0,  8 | dz = 0.000 | diff = -0.22 | SS | 1.002
 0, 22 | dz = 0.000 | diff = 0.03 | SS | 0.945
 0, 35 | dz = 0.000 | diff = -0.04 | SS | 0.971
 0, 104 | dz = 0.000 | diff = -0.22 | SS | 1.326
 0, 156 | dz = 0.000 | diff = -0.19 | SS | 0.999
 1, 21 | dz = 0.000 | diff = 0.99 | SS | 1.992
 1, 48 | dz = 0.001 | diff = 1.51 | SS | 0.980
 1, 116 | dz = 0.000 | diff = 0.28 | SS | 0.657
 1, 119 | dz = 0.000 | diff = 0.56 | SS | 0.813
 1, 137 | dz = 0.000 | diff = 0.37 | SS | 1.620
 2, 13 | dz = 0.001 | diff = -0.77 | SS | 1.267
 2, 25 | dz = 0.000 | diff = -0.28 | SS | 1.193
 2, 35 | dz = 0.000 | diff = -0.99 | SS | 1.986
 2, 72 | dz = 0.329 | diff = -78.23 | SD | 0.475
 2, 117 | dz = 0.329 | diff = -80.67 | SD | 0.994
 2, 156 | dz = 0.000 | diff = -0.85 | SS | 1.952
 3, 11 | dz = 0.000 | diff = 0.29 | SS | 1.281
 3, 22 | dz = 0.000 | diff = -0.13 | SS | 0.996
 3, 104 | dz = 0.000 | diff = -0.06 | SS | 0.978
 3, 143 | dz = 0.000 | diff = -0.32 | SS | 1.314
 4, 65 | dz = 0.000 | diff = 0.36 | SS | 1.576
 4, 128 | dz = 0.000 | diff = 0.00 | SS | 1.002
 5, 19 | dz = 0.000 | diff = 0.03 | SS | 0.971
 5, 34 | dz = 0.000 | diff = -0.34 | SS | 0.782
 5, 38 | dz = 0.000 | diff = 0.04 | SS | 0.935
 5, 43 | dz = 0.000 | diff = -0.03 | SS | 1.004
 5, 127 | dz = 0.000 | diff = -0.01 | SS | 1.068
 5, 151 | dz = 0.000 | diff = -0.02 | SS | 1.214
 6, 15 | dz = 0.000 | diff = 0.46 | SS | 1.284
 6, 39 | dz = 0.000 | diff = 0.44 | SS | 1.076
 6, 55 | dz = 0.000 | diff = -0.06 | SS | 0.612
 6, 89 | dz = 0.000 | diff = 0.18 | SS | 0.612
 6, 96 | dz = 0.000 | diff = 0.02 | SS | 0.980
 6, 110 | dz = 0.000 | diff = 0.07 | SS | 1.584
 7,  8 | dz = 0.000 | diff = -0.03 | SS | 1.218
 7, 43 | dz = 0.000 | diff = -0.04 | SS | 1.230
 7, 45 | dz = 0.000 | diff = -0.18 | SS | 1.000
 7, 88 | dz = 0.000 | diff = -0.15 | SS | 0.805
