Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
71, 139 | dz = 1.304 | sum = -196.73 | DD | 8.948
72, 97 | dz = 0.096 | diff = 16.17 | SS | 15.128
73, 86 | dz = 0.093 | diff = 13.14 | SS | 12.999
73, 99 | dz = 0.818 | sum = 126.98 | DS | 4.036
73, 102 | dz = 0.004 | diff = 18.16 | SS | 9.777
74, 101 | dz = 0.093 | diff = 9.95 | SS | 14.967
74, 153 | dz = 0.466 | sum = 49.01 | DD | 13.009
75, 94 | dz = 1.212 | sum = -195.69 | DD | 12.256
75, 114 | dz = 1.210 | sum = -200.50 | DD | 6.328
75, 155 | dz = 0.094 | diff = 8.77 | SS | 7.221
76, 89 | dz = 0.172 | diff = 13.75 | SS | 6.250
76, 107 | dz = 0.841 | sum = 48.81 | DD | 1.670
77, 115 | dz = 0.375 | diff = -61.86 | SD | 9.852
78, 98 | dz = 0.559 | sum = 19.82 | DS | 13.128
78, 121 | dz = 1.023 | sum = 21.99 | DS | 9.693
78, 132 | dz = 0.091 | diff = -15.11 | SS | 14.575
78, 140 | dz = 0.187 | diff = -94.60 | SD | 10.710
79, 97 | dz = 1.430 | sum = -194.88 | DD | 15.716
79, 144 | dz = 1.119 | sum = -199.88 | DD | 19.016
80, 98 | dz = 1.029 | sum = -56.37 | DD | 10.151
80, 133 | dz = 0.560 | sum = 17.68 | DS | 14.555
80, 141 | dz = 0.466 | diff = -61.65 | SD | 11.265
81, 104 | dz = 0.373 | sum = 16.99 | DS | 10.048
81, 120 | dz = 0.469 | diff = -63.30 | SD | 11.336
82, 96 | dz = 0.003 | diff = 18.25 | SS | 8.043
82, 131 | dz = 0.789 | sum = 129.93 | DS | 0.683
82, 156 | dz = 1.214 | sum = -55.05 | DD | 10.045
83, 159 | dz = 0.019 | diff = 11.06 | SS | 5.017
84, 93 | dz = 1.305 | sum = -55.49 | DD | 10.999
84, 114 | dz = 1.025 | sum = -58.12 | DD | 9.876
84, 135 | dz = 0.186 | diff = -16.35 | SS | 9.737
84, 136 | dz = 0.043 | diff = 16.41 | SS | 11.138
85, 95 | dz = 0.294 | diff = 21.58 | SS | 9.641
85, 101 | dz = 0.088 | diff = 16.07 | SS | 8.208
85, 109 | dz = 0.003 | diff = 1.93 | SS | 3.709
85, 153 | dz = 0.471 | sum = -197.20 | DD | 6.844
86, 102 | dz = 0.089 | diff = -5.02 | SS | 2.927
86, 122 | dz = 1.119 | sum = -55.94 | DD | 6.152
87, 139 | dz = 1.378 | sum = -53.45 | DD | 6.003
87, 154 | dz = 1.127 | sum = 48.13 | DD | 3.452
88, 130 | dz = 1.400 | sum = -194.90 | DD | 8.883
88, 148 | dz = 0.262 | diff = 19.31 | SS | 14.308
