Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
78, 93 | dz = 0.000 | diff = -0.03 | SS | 1.022
78, 137 | dz = 0.001 | diff = 0.14 | SS | 0.853
80, 104 | dz = 0.000 | diff = 0.02 | SS | 0.993
80, 110 | dz = 0.001 | diff = 0.28 | SS | 1.317
80, 116 | dz = 0.000 | diff = 0.36 | SS | 0.716
80, 145 | dz = 0.000 | diff = 0.25 | SS | 1.003
81, 84 | dz = 0.000 | diff = 0.23 | SS | 0.951
82, 93 | dz = 0.000 | diff = 0.35 | SS | 0.249
82, 148 | dz = 0.000 | diff = 0.29 | SS | 1.029
83, 133 | dz = 0.000 | diff = 0.03 | SS | 1.011
85, 104 | dz = 0.000 | diff = 0.78 | SS | 1.063
86, 89 | dz = 0.000 | diff = 0.25 | SS | 0.548
86, 90 | dz = 0.000 | diff = -0.00 | SS | 0.951
86, 126 | dz = 0.000 | diff = -0.62 | SS | 2.000
86, 128 | dz = 0.000 | diff = 0.24 | SS | 1.027
87, 132 | dz = 0.000 | diff = -0.06 | SS | 1.012
87, 151 | dz = 0.000 | diff = 0.07 | SS | 0.912
88, 108 | dz = 0.000 | diff = 0.00 | SS | 1.019
88, 157 | dz = 0.000 | diff = 0.00 | SS | 1.001
89, 106 | dz = 0.001 | diff = 0.23 | SS | 1.026
89, 128 | dz = 0.000 | diff = 0.00 | SS | 0.738
90, 128 | dz = 0.000 | diff = 0.24 | SS | 0.853
90, 154 | dz = 0.000 | diff = -0.29 | SS | 1.290
92, 134 | dz = 0.000 | diff = -0.00 | SS | 1.013
92, 135 | dz = 0.000 | diff = 0.13 | SS | 0.772
93, 137 | dz = 0.001 | diff = 0.17 | SS | 1.013
94, 114 | dz = 0.000 | diff = 0.12 | SS | 0.844
95, 96 | dz = 0.000 | diff = -0.01 | SS | 0.920
95, 136 | dz = 0.000 | diff = -0.28 | SS | 1.257
95, 152 | dz = 0.000 | diff = -0.20 | SS | 1.200
96, 152 | dz = 0.000 | diff = -0.21 | SS | 1.143
97, 120 | dz = 0.000 | diff = -0.17 | SS | 0.822
98, 101 | dz = 0.000 | diff = 0.23 | SS | 1.228
98, 115 | dz = 0.000 | diff = 0.11 | SS | 0.651
98, 153 | dz = 0.000 | diff = 0.49 | SS | 0.650
99, 142 | dz = 0.000 | diff = -0.12 | SS | 0.609
99, 151 | dz = 0.000 | diff = -0.04 | SS | 0.502
99, 152 | dz = 0.000 | diff = -0.00 | SS | 1.017
99, 155 | dz = 0.001 | diff = 0.26 | SS | 1.256
100, 118 | dz = 0.000 | diff = 0.17 | SS | 0.969
101, 115 | dz = 0.000 | diff = 0.12 | SS | 0.993
102, 109 | dz = 0.000 | diff = -0.09 | SS | 1.082
102, 138 | dz = 0.000 | diff = 0.09 | SS | 1.012
102, 140 | dz = 0.000 | diff = -0.15 | SS | 0.921
102, 154 | dz = 0.000 | diff = -0.10 | SS | 0.956
103, 105 | dz = 0.000 | diff = 0.17 | SS | 1.276
103, 107 | dz = 0.000 | diff = -0.11 | SS | 0.672
103, 112 | dz = 0.000 | diff = 0.41 | SS | 0.892
104, 116 | dz = 0.000 | diff = 0.35 | SS | 0.707
104, 145 | dz = 0.000 | diff = 0.27 | SS | 1.070
105, 107 | dz = 0.000 | diff = 0.06 | SS | 1.004
105, 111 | dz = 0.000 | diff = -0.02 | SS | 0.765
105, 123 | dz = 0.000 | diff = 0.08 | SS | 1.115
106, 128 | dz = 0.001 | diff = 0.24 | SS | 1.113
106, 145 | dz = 0.000 | diff = 0.48 | SS | 0.664
107, 111 | dz = 0.000 | diff = 0.04 | SS | 1.302
107, 112 | dz = 0.000 | diff = 0.52 | SS | 0.741
107, 117 | dz = 0.000 | diff = -0.04 | SS | 1.004
107, 156 | dz = 0.000 | diff = 0.68 | SS | 0.683
108, 119 | dz = 0.000 | diff = 0.03 | SS | 1.086
108, 141 | dz = 0.000 | diff = -0.00 | SS | 0.989
109, 131 | dz = 0.000 | diff = -0.01 | SS | 1.021
110, 145 | dz = 0.000 | diff = 0.03 | SS | 0.988
111, 117 | dz = 0.000 | diff = -0.01 | SS | 0.999
111, 149 | dz = 0.000 | diff = 0.00 | SS | 1.108
112, 122 | dz = 0.000 | diff = -0.63 | SS | 0.382
112, 146 | dz = 0.000 | diff = -0.69 | SS | 0.304
112, 156 | dz = 0.000 | diff = 0.16 | SS | 0.744
114, 118 | dz = 0.000 | diff = 0.25 | SS | 1.264
114, 123 | dz = 0.000 | diff = 0.21 | SS | 0.710
115, 116 | dz = 0.000 | diff = 0.31 | SS | 0.897
117, 156 | dz = 0.000 | diff = 0.73 | SS | 1.281
119, 141 | dz = 0.000 | diff = 0.03 | SS | 1.067
120, 150 | dz = 0.001 | diff = 0.00 | SS | 1.009
121, 127 | dz = 0.000 | diff = 0.02 | SS | 0.831
121, 134 | dz = 0.000 | diff = 0.01 | SS | 0.988
122, 129 | dz = 0.000 | diff = 0.33 | SS | 1.613
122, 146 | dz = 0.000 | diff = 0.07 | SS | 1.005
122, 158 | dz = 0.000 | diff = 0.58 | SS | 0.407
123, 143 | dz = 0.000 | diff = 0.11 | SS | 0.909
124, 127 | dz = 0.000 | diff = 0.19 | SS | 0.739
125, 135 | dz = 0.000 | diff = 0.69 | SS | 1.071
126, 132 | dz = 0.000 | diff = -0.14 | SS | 1.151
127, 134 | dz = 0.000 | diff = 0.01 | SS | 1.066
130, 146 | dz = 0.000 | diff = -0.46 | SS | 1.253
130, 156 | dz = 0.000 | diff = -0.99 | SS | 0.987
134, 135 | dz = 0.000 | diff = 0.13 | SS | 1.081
136, 142 | dz = 0.000 | diff = -0.03 | SS | 1.138
136, 152 | dz = 0.000 | diff = -0.09 | SS | 0.873
138, 154 | dz = 0.000 | diff = -0.01 | SS | 0.851
140, 154 | dz = 0.000 | diff = -0.25 | SS | 1.014
142, 152 | dz = 0.000 | diff = -0.12 | SS | 1.047
142, 155 | dz = 0.000 | diff = 0.38 | SS | 0.997
144, 153 | dz = 0.000 | diff = 0.13 | SS | 1.289
146, 156 | dz = 0.000 | diff = -0.53 | SS | 1.114
146, 158 | dz = 0.000 | diff = -0.52 | SS | 0.499
Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 27 | dz = 0.000 | diff = -0.21 | SS | 0.977
 0, 99 | dz = 0.000 | diff = -0.29 | SS | 1.127
 0, 103 | dz = 0.000 | diff = 0.11 | SS | 1.002
 0, 107 | dz = 0.000 | diff = -0.02 | SS | 1.153
 0, 134 | dz = 0.000 | diff = -0.01 | SS | 0.582
 0, 156 | dz = 0.000 | diff = 0.17 | SS | 0.916
 1,  6 | dz = 0.000 | diff = 0.15 | SS | 0.463
 1, 52 | dz = 0.000 | diff = -0.37 | SS | 0.834
 1, 82 | dz = 0.000 | diff = -0.09 | SS | 1.083
 1, 94 | dz = 0.000 | diff = -0.10 | SS | 1.138
 1, 105 | dz = 0.000 | diff = -0.33 | SS | 1.013
 1, 131 | dz = 0.000 | diff = -0.01 | SS | 0.799
 2, 33 | dz = 0.000 | diff = -0.14 | SS | 1.029
 2, 71 | dz = 0.000 | diff = -0.22 | SS | 1.144
 2, 78 | dz = 0.000 | diff = -0.01 | SS | 0.828
 2, 85 | dz = 0.000 | diff = -0.11 | SS | 1.123
 2, 104 | dz = 0.000 | diff = -0.05 | SS | 0.828
 2, 159 | dz = 0.000 | diff = -0.09 | SS | 0.921
 3, 15 | dz = 0.000 | diff = -0.09 | SS | 1.916
 3, 66 | dz = 0.000 | diff = -0.60 | SS | 0.762
 3, 128 | dz = 0.000 | diff = -0.28 | SS | 1.272
 3, 141 | dz = 0.000 | diff = -0.41 | SS | 0.001
